"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"400","Harrison Henderson","Milwaukee","Horz",17.4,81.6,22.4,39.2,6.1,16.9,2,24.5,2.8,0.8,53.3,"Jr","10-Jun","Southern",-1.15451
"401","Antwuan Butler","Austin Peay","OVC",65.5,98.2,15.6,39.9,2.1,7.3,19.8,19,0.3,2.4,37.9,"So","Jun-00","NJIT",0.21731
"402","Rich Kelly","Quinnipiac","MAAC",85.8,109.8,25.8,53,1.1,7.1,30,18.9,0.4,1.4,29,"Jr","1-Jun","Boston College",-2.20485
"403","Charles Minlend","San Francisco","WCC",73.3,102.2,26.8,47,5.9,12.8,12.7,13,1.9,2,37.1,"Jr","4-Jun","Louisville",0.365072
"404","Matt Van Komen","Utah","P12",3.4,129.8,13.5,70,11.4,28.9,0,10.2,19.5,0,20,"Fr","4-Jul","Saint Mary's",5.16051
"405","Zion Griffin","Iowa St.","B12",25.1,92.3,16.2,47.7,6.1,14.2,4,17.5,3,1.9,17.4,"So","6-Jun","Illinois Chicago",0.108702
"406","Jhery Matos","Dayton","A10",17.9,91.5,16.6,46.9,4.3,13.6,15.8,24.9,1.9,1,12.2,"Jr","5-Jun","Charlotte",1.09802
"407","Tai Strickland","Wisconsin","B10",3.6,100,35,47.8,2.4,8.9,31,17.7,0,2.5,34.8,"Fr","2-Jun","Temple",-0.685605
"408","Anthony Nelson","Seton Hall","BE",28,87.9,18.6,46.9,1,6.5,31.9,34,0,2.2,35.9,"So","4-Jun","Manhattan",0.359197
"409","JD Notae","Jacksonville","ASun",73.7,93.9,29,47.9,3.2,20.3,22.8,21.9,1.5,3.2,27.2,"So","2-Jun","Arkansas",0.349989
"410","Josh LeBlanc","Georgetown","BE",9,106.9,16.5,63,4.8,10.4,3.4,20.6,7.8,1.9,55.6,"So","7-Jun","LSU",2.18997
"411","Rashawn Fredericks","Cincinnati","Amer",25.5,101.7,14.5,40.7,9.5,16.7,4.1,14.3,1.8,1.7,24.7,"Jr","5-Jun","UAB",1.17913
"412","Hugh Hogland","Portland","WCC",10.5,76.4,19.3,46.2,8.5,15.4,6.6,32.6,7.9,0.4,38.5,"So","10-Jun","UC Davis",0.880781
"413","Kevin Marfo","Quinnipiac","MAAC",70.2,113.8,22.6,48.7,18.5,34.1,14,18.5,4.4,1.3,94.6,"Jr","8-Jun","Texas A&M",-0.15758
"414","Christian Terrell","UC Santa Barbara","BW",11.7,97.6,11.6,44.4,2.5,14.2,12.6,25.9,1.6,0.9,50,"Jr","5-Jun","Sacramento St.",0.431241
"415","Tyler Morman","Wyoming","MWC",2.2,117.5,4.8,100,4.3,16.8,7.3,44.4,4.5,0,0,"Jr","9-Jun","Southern Miss",1.85806
"416","Daxton Carr","Cal Poly","BW",39.2,103.5,11.1,52.1,3,16.4,5.3,16.2,1.2,1.2,27.1,"Fr","7-Jun","Idaho St.",-0.670837
"417","Mark Gasperini","American","Pat",53.1,104.4,23.3,48.9,11,17.4,7.3,14,2.6,1.5,32.6,"Sr","10-Jun","Massachusetts",-1.41713
"418","Ray Salnave","Monmouth","MAAC",70.2,101.7,27.7,47.2,2.8,15.7,24.7,19.2,0.7,2.9,46.7,"Jr","3-Jun","DePaul",0.992719
"419","R.J. Cole","Howard","MEAC",91.7,110.8,29.7,49.4,1.9,10.7,34.7,17,0.1,2.7,48.9,"So","1-Jun","Connecticut",-1.04515
"420","Noah Baumann","San Jose St.","MWC",69.8,100.8,19.3,55.7,1.3,9.6,15,20.6,0.3,1.1,16.3,"So","5-Jun","USC",-2.38467
"421","Zac Watson","UC Riverside","BW",20.4,97.2,16.3,55.8,7.9,21.3,13.7,29.1,0.5,1.6,20.9,"So","7-Jun","Longwood",1.43873
"422","Tshiefu Ngalakulondi","St. Bonaventure","A10",22,88.4,15.7,45.3,6.3,20.6,5.9,18,4.3,2.2,8,"So","7-Jun","Fairfield",2.12266
"423","Jamir Moultrie","La Salle","A10",16.5,80.2,22.9,38,2.1,5.3,9.3,22.3,0,2,25.4,"So","1-Jun","North Carolina Central",-2.69629
"424","Tyron Brewer","Southeastern Louisiana","Slnd",27.7,93,15.4,49.3,8.7,14.4,1.2,18,4.1,1.4,58,"Fr","7-Jun","East Tennessee St.",0.143765
"425","Derrick Walker","Tennessee","SEC",9.9,97.3,11,56.3,6.8,15.3,6.2,18,2.4,2.4,100,"So","8-Jun","Nebraska",3.14686
"426","Ryan Murphy","Pittsburgh","ACC",55.6,95.9,17.8,45.5,2.1,7.1,10.6,16.6,0.5,2.1,13.4,"Jr","2-Jun","Tulane",0.650202
"427","Melo Eggleston","Arkansas St.","SB",32.1,84.5,27.1,40.6,7.7,23.5,10.7,20.5,1.8,1.5,49.6,"So","8-Jun","Bryant",-2.47653
